character,radical,decomposition,pinyin,definition,etymology,stroke_count,radical_code,frequency_rank,hsk_levl
鐓,金,,duì,ferrule; castrate,,20,167.12,7302,
筘,竹,⿱⺮扣,kòu,,"{'type': 'pictophonetic', 'phonetic': '扣', 'semantic': '⺮', 'hint': 'bamboo'}",12,118.6,7303,
鲝,魚,,zhǎ,,,14,195.6,7304,
睏,目,⿰目困,kùn,"be tired, sleepy","{'type': 'pictophonetic', 'phonetic': '困', 'semantic': '目'}",12,109.7,7305,
蔸,艸,⿱艹兜,dōu,counter for plant,"{'type': 'pictophonetic', 'phonetic': '兜', 'semantic': '艹', 'hint': 'plant'}",14,140.11,7306,
镚,金,⿰钅崩,bèng,small coin,"{'type': 'pictophonetic', 'phonetic': '崩', 'semantic': '钅', 'hint': 'money'}",16,167.11,7307,
痦,疒,⿸疒吾,wù,,"{'type': 'pictophonetic', 'phonetic': '吾', 'semantic': '疒', 'hint': 'sickness'}",12,104.7,7308,
秵,禾,,yīn,,,11,115.6,7309,
臎,肉,,cuì,,,18,130.14,7310,
葴,艸,,zhēn,,,12,140.9,7311,
蝟,虫,⿰虫胃,wèi,hedgehog,"{'type': 'pictophonetic', 'phonetic': '胃', 'semantic': '虫', 'hint': 'animal'}",15,142.9,7312,
訂,言,⿰言丁,dìng,draw up agreement; arrange,"{'type': 'pictophonetic', 'phonetic': '丁', 'semantic': '言', 'hint': 'speech'}",9,149.2,7313,
泖,水,⿰氵卯,mǎo,still waters; river in Jiangsu,"{'type': 'pictophonetic', 'phonetic': '卯', 'semantic': '氵', 'hint': 'water'}",8,85.5,7314,
骟,馬,⿰马扇,shàn,"geld, castrate","{'type': 'pictophonetic', 'phonetic': '扇', 'semantic': '马', 'hint': 'horse'}",13,187.1,7315,
锽,金,,huáng,weapon,,14,167.9,7316,
犋,牛,⿰牛具,jù,,"{'type': 'pictophonetic', 'phonetic': '具', 'semantic': '牛', 'hint': 'ox'}",12,93.8,7317,
眵,目,⿰目多,chī,eyes diseased and dim,"{'type': 'pictophonetic', 'phonetic': '多', 'semantic': '目', 'hint': 'eye'}",11,109.6,7318,
耩,耒,⿰耒冓,jiǎng,to plough. to sow,"{'type': 'ideographic', 'hint': 'To dig a hole\xa0冓 with a plow\xa0耒'}",16,127.1,7319,
筢,竹,⿱⺮把,pá,rake,"{'type': 'pictophonetic', 'phonetic': '把', 'semantic': '⺮', 'hint': 'bamboo'}",13,118.7,7320,
躔,足,⿰足廛,chán,"follow in, imitate; rut, path","{'type': 'pictophonetic', 'phonetic': '廛', 'semantic': '足', 'hint': 'foot'}",22,157.15,7321,
鬏,髟,⿱髟秋,jiū,a coiffure on top of the head,"{'type': 'pictophonetic', 'phonetic': '秋', 'semantic': '髟', 'hint': 'hair'}",19,190.9,7322,
黪,黑,⿰黑参,cǎn,grey black,"{'type': 'pictophonetic', 'phonetic': '参', 'semantic': '黑', 'hint': 'black'}",20,203.8,7323,
祔,示,,fù,,,9,113.5,7325,
箠,竹,,chuí,horse whip; flog,,14,118.8,7326,
舲,舟,⿰舟令,líng,small boat with windows; houseboat,"{'type': 'pictophonetic', 'phonetic': '令', 'semantic': '舟', 'hint': 'boat'}",11,137.5,7327,
蒷,艸,,yún,,,13,140.1,7328,
蜺,虫,,ní,reflection of rainbow,,14,142.8,7329,
襢,衣,⿰衤亶,tǎn,strip; lay bare; bared; naked,"{'type': 'ideographic', 'hint': ""The truth\xa0亶 hidden under one's robes 衤;\xa0亶 also provides the pronunciation""}",18,145.13,7330,
謺,言,,zhé,,,18,149.11,7331,
劐,刀,⿰蒦刂,huō,destroy,"{'type': 'pictophonetic', 'phonetic': '蒦', 'semantic': '刂', 'hint': 'knife'}",15,18.14,7332,
貯,貝,⿰貝宁,zhù,"store, stockpile, hoard","{'type': 'pictophonetic', 'phonetic': '宁', 'semantic': '貝', 'hint': 'money'}",12,154.5,7333,
搋,手,⿰扌虒,chuāi,to thump,"{'type': 'pictophonetic', 'phonetic': '虒', 'semantic': '扌', 'hint': 'hand'}",13,64.1,7334,
醊,酉,,zhuì,to pour wine in a libation,,15,164.8,7335,
廒,广,⿸广敖,áo,a granary,"{'type': 'pictophonetic', 'phonetic': '敖', 'semantic': '广', 'hint': 'building'}",13,53.11,7336,
洚,水,⿰氵夅,jiàng,a flood,"{'type': 'pictophonetic', 'phonetic': '夅', 'semantic': '氵', 'hint': 'water'}",9,85.6,7337,
胲,肉,⿰⺼亥,hǎi,,"{'type': 'pictophonetic', 'phonetic': '亥', 'semantic': '⺼', 'hint': 'organic compound'}",10,130.6,7338,
韥,韋,,dú,,,24,178.15,7339,
饘,食,,zhān,gruel,,21,184.13,7340,
馂,食,⿰饣夋,jùn,leftovers,"{'type': 'ideographic', 'hint': 'Food\xa0饣 left over 夋;\xa0夋 also provides the pronunciation'}",10,184.7,7341,
筅,竹,⿱⺮先,xiǎn,bamboo brush; halberd,"{'type': 'pictophonetic', 'phonetic': '先', 'semantic': '⺮', 'hint': 'bamboo'}",12,118.6,7342,
鳆,魚,⿰鱼复,fù,abalone,"{'type': 'pictophonetic', 'phonetic': '复', 'semantic': '鱼', 'hint': 'fish'}",17,195.9,7343,
鲊,魚,,zhǎ,minced and salted fish; to preserve,,13,195.5,7344,
麗,鹿,⿱丽鹿,lì,"beautiful, magnificent, elegant","{'type': 'ideographic', 'hint': 'The antlers of a deer\xa0鹿'}",19,198.8,7345,
篸,竹,,cǎn,"a basket, hod, scuttle; a hairclasp",,17,118.11,7346,
腄,肉,,chuí,,,12,130.8,7347,
臑,肉,,nào,soft,,18,130.14,7348,
诐,言,,bì,argue; biased; one-sided,,7,149.5,7349,
仳,人,⿰亻比,pǐ,"separate, part company","{'type': 'pictophonetic', 'phonetic': '比', 'semantic': '亻', 'hint': 'person'}",6,9.4,7350,
趩,走,,chì,,,18,156.12,7351,
篩,竹,⿱⺮師,shāi,"sieve, filter, screen; sift","{'type': 'pictophonetic', 'phonetic': '師', 'semantic': '⺮', 'hint': 'bamboo'}",16,118.1,7352,
簾,竹,⿱⺮廉,lián,"a blind, screen, curtain","{'type': 'ideographic', 'hint': 'An upright 廉 bamboo ⺮ sign'}",19,118.13,7353,
絪,糸,,yīn,matting; coverlet; cloudy,,12,120.6,7354,
绹,糸,,táo,"to braid, twist; twisted or braided",,11,120.8,7355,
膵,肉,,cuì,pancreas,,15,130.12,7356,
蕗,艸,,lù,leucacene,,16,140.12,7357,
蝘,虫,,yǎn,"gecko, kind of cicada",,15,142.9,7358,
袠,衣,,zhì,book cover; satchel or bag,,11,145.5,7359,
賸,貝,,shèng,"leftovers, residue, remains",,17,154.1,7360,
葙,艸,⿱艹相,xiāng,feather cockscomb (Celosia argentea),"{'type': 'pictophonetic', 'phonetic': '相', 'semantic': '艹', 'hint': 'plant'}",12,140.9,7361,
遊,辵,⿺辶斿,yóu,"wander, roam, travel","{'type': 'pictophonetic', 'phonetic': '斿', 'semantic': '辶', 'hint': 'walk'}",12,162.9,7362,
饑,食,⿰飠幾,jī,"starve, be hungry; famine","{'type': 'pictophonetic', 'phonetic': '幾', 'semantic': '飠', 'hint': 'food'}",20,184.12,7363,
驀,馬,⿱莫馬,mò,"suddenly, quickly, abruptly","{'type': 'pictophonetic', 'phonetic': '莫', 'semantic': '馬', 'hint': 'horse'}",20,187.11,7364,
祪,示,,guǐ,,,10,113.6,7365,
禘,示,,dì,imperial ancestor worship,,13,113.9,7366,
臺,至,⿳吉冖至,tái,"tower, lookout; stage, platform","{'type': 'ideographic', 'hint': 'A man\xa0吉 standing on a raised\xa0至 dais\xa0冖'}",14,133.8,7367,
菍,艸,,niè,,,11,140.8,7368,
髒,骨,⿰骨葬,zāng,dirty; firm; fat,"{'type': 'pictophonetic', 'phonetic': '葬', 'semantic': '骨', 'hint': 'bone'}",21,188.13,7369,
軸,車,⿰車由,zhóu,"axle, axletree; pivot; axis","{'type': 'pictophonetic', 'phonetic': '由', 'semantic': '車', 'hint': 'wheel'}",12,159.5,7370,
釘,金,⿰釒丁,dīng,"nail, spike; pursue closely","{'type': 'ideographic', 'hint': 'A metal\xa0釒 nail 丁;\xa0丁 also provides the pronunciation'}",10,167.2,7371,
頃,頁,⿰匕頁,qǐng,a moment; a measure of area equal to 100 mu or 6.7 hectares; to lean,,11,181.2,7372,
仉,人,⿰亻几,zhǎng,surname of the mother of Mencius,,4,9.2,7373,
氕,气,⿹气丿,piē,"hydrogen-1, protium","{'type': 'pictophonetic', 'phonetic': '丿', 'semantic': '气', 'hint': 'gas'}",5,84.1,7374,
矔,目,,guàn,,,22,109.18,7375,
緒,糸,⿰糹者,xù,end of thread; thread,"{'type': 'pictophonetic', 'phonetic': '者', 'semantic': '糹', 'hint': 'thread'}",14,120.8,7376,
脅,肉,⿱劦⺼,xié,ribs; armpits; flank; threaten,"{'type': 'ideographic', 'hint': ""To control\xa0劦\xa0another's body\xa0⺼""}",10,130.6,7377,
臒,肉,,wò,,,17,130.14,7378,
苿,艸,,wèi,,,8,140.5,7379,
菢,艸,,bào,to incubate; to brood; to hatch,,11,140.8,7380,
蔂,艸,,léi,"basket, hod",,14,140.11,7381,
藞,艸,,lǎ,,,18,140.15,7382,
袩,衣,,zhé,,,10,145.5,7383,
貞,貝,⿱⺊貝,zhēn,"virtuous, chaste, pure; loyal",,9,154.2,7384,
賣,貝,⿳士罒貝,mài,sell; betray; show off,"{'type': 'pictophonetic', 'phonetic': '买', 'semantic': '貝', 'hint': 'money'}",15,154.8,7385,
跍,足,,kū,,,12,157.5,7386,
跓,足,,zhù,,,12,157.5,7387,
蹤,足,⿰足從,zōng,"footprints, traces, tracks","{'type': 'pictophonetic', 'phonetic': '從', 'semantic': '足', 'hint': 'foot'}",18,157.11,7388,
軍,車,⿱冖車,jūn,"army, military; soldiers, troops","{'type': 'ideographic', 'hint': 'Soldiers\xa0冖 (distorted 力) in a cart 車'}",9,159.2,7389,
邿,邑,,shī,a state in Shandong province,,8,163.6,7390,
鄰,邑,⿰粦阝,lín,neighbor; neighborhood,"{'type': 'pictophonetic', 'phonetic': '粦', 'semantic': '阝', 'hint': 'town'}",14,163.12,7391,
醿,酉,,mí,,,24,164.17,7392,
鈨,金,,yuan,,,12,167.4,7393,
鋼,金,⿰釒岡,gāng,"steel; hard, strong, tough","{'type': 'pictophonetic', 'phonetic': '岡', 'semantic': '釒', 'hint': 'metal'}",16,167.8,7394,
駵,馬,,liú,,,17,187.7,7395,
駸,馬,,qīn,galloping; speeding,,17,187.7,7396,
鰪,魚,,é,,,21,195.1,7397,
鱾,魚,,jǐ,name of fish,,11,195.3,7398,
䝼,貝,,jìng,"to bestow, to confer upon; to grant to",,15,154.8,7399,
賨,貝,,cóng,tribute paid in cloth by the tribes in Szechwan and Yunnan under the Han dynasty,,15,154.8,7400,
艞,舟,,yào,,,18,137.12,7401,
鹟,鳥,,wēng,,,15,196.1,7402,
钁,金,,jué,a mattock; a billhook,,28,167.2,7403,
鞓,革,,tīng,,,16,177.7,7404,
鰉,魚,,huáng,sturgeon,,20,195.9,7405,
監,皿,⿱⿰臣？皿,jiān,"supervise, control, direct","{'type': 'pictophonetic', 'phonetic': '皿', 'semantic': '臣', 'hint': 'minister'}",14,108.9,7406,
穊,禾,,jì,plough deep; sown slowly,,14,115.11,7407,
蕡,艸,,fén,hemp seeds; plant with abundant,,15,140.12,7408,
鑨,金,,lóng,,,24,167.16,7409,
楱,木,⿰木奏,zòu,,"{'type': 'pictophonetic', 'phonetic': '奏', 'semantic': '木', 'hint': 'tree'}",13,75.9,7410,
靹,革,,nà,,,13,177.4,7411,
鷃,鳥,,yàn,quail,,21,196.1,7412,
鼱,鼠,⿰鼠青,jīng,,"{'type': 'pictophonetic', 'phonetic': '青', 'semantic': '鼠', 'hint': 'rat'}",21,208.8,7413,
眫,目,,mǐ,,,10,109.5,7414,
艆,舟,,láng,,,13,137.7,7415,
褯,衣,,jiè,,,15,145.1,7416,
剞,刀,⿰奇刂,jī,carving or engraving knife; grave,"{'type': 'pictophonetic', 'phonetic': '奇', 'semantic': '刂', 'hint': 'knife'}",10,18.8,7417,
蔟,艸,⿱艹族,cù,frame on which silkworms spin,"{'type': 'pictophonetic', 'phonetic': '族', 'semantic': '艹', 'hint': 'grass'}",14,140.11,7418,
靿,革,,yào,the leg of a boot,,14,177.5,7419,
飭,食,⿰飠⿱？力,chì,order; command; give command,"{'type': 'pictophonetic', 'phonetic': '飠', 'semantic': '力', 'hint': 'strength'}",12,184.4,7420,
瘼,疒,⿸疒莫,mò,sickness; distress,"{'type': 'pictophonetic', 'phonetic': '莫', 'semantic': '疒', 'hint': 'sickness'}",15,104.11,7421,
酴,酉,⿰酉余,tú,"leaven, yeast; wine","{'type': 'pictophonetic', 'phonetic': '余', 'semantic': '酉', 'hint': 'wine'}",14,164.7,7422,
鼢,鼠,⿰鼠分,fén,a variety of mole,"{'type': 'pictophonetic', 'phonetic': '分', 'semantic': '鼠', 'hint': 'rat'}",17,208.4,7423,
睆,目,,huàn,bright,,12,109.7,7424,
硁,石,,kēng,the sound of stones knocking together,,10,112.5,7425,
秬,禾,,jù,black millet,,9,115.5,7426,
穪,禾,,chēng,to praise,,19,115.14,7427,
筦,竹,⿱⺮完,guǎn,a key; to be in charge; a pipe,"{'type': 'pictophonetic', 'phonetic': '完', 'semantic': '⺮', 'hint': 'bamboo'}",13,118.7,7428,
粡,米,,tóng,,,12,119.6,7429,
粣,米,,cè,,,11,119.5,7430,
綖,糸,,yán,the hanging flap in the front of a hat,,12,120.7,7431,
裏,衣,⿻衣里,lǐ,"inside, interior, within","{'type': 'pictophonetic', 'phonetic': '里', 'semantic': '衣', 'hint': 'clothes'}",13,145.7,7432,
刭,刀,⿰？刂,jǐng,cut throat,"{'type': 'pictophonetic', 'semantic': '刂', 'hint': 'knife'}",7,18.5,7433,
跼,足,,jú,"bent, stooped, crouched; contract",,14,157.7,7434,
蒇,艸,⿱艹⿵戊贝,chǎn,"finish, complete; solve; complete",,12,140.9,7435,
挢,手,⿰扌乔,jiǎo,correct,"{'type': 'pictophonetic', 'phonetic': '乔', 'semantic': '扌', 'hint': 'hand'}",9,64.6,7436,
邆,辵,,téng,,,15,162.12,7437,
彡,彡,⿳丿丿丿,shān,hair; KangXi radical 59,"{'type': 'pictographic', 'hint': 'Tufts of hair'}",3,59.0,7438,
猃,犬,⿰犭佥,xiǎn,dog,"{'type': 'pictophonetic', 'phonetic': '佥', 'semantic': '犭', 'hint': 'dog'}",10,94.7,7439,
闉,門,⿵門垔,yīn,"curved, bent; a curved wall","{'type': 'pictophonetic', 'phonetic': '垔', 'semantic': '門', 'hint': 'gate'}",17,169.9,7440,
阓,門,,huì,gate of a market,,12,169.9,7441,
阛,門,,huán,wall around market place,,16,169.13,7442,
靺,革,,mò,stocking; the Tungusic tribe,,14,177.5,7443,
鞨,革,,hé,tribe,,18,177.9,7444,
铥,金,⿰钅丢,diū,thulium,"{'type': 'pictophonetic', 'phonetic': '丢', 'semantic': '钅', 'hint': 'metal'}",11,167.6,7445,
瘅,疒,⿸疒单,dān,to hate bitterly; drought; dry,"{'type': 'pictophonetic', 'phonetic': '单', 'semantic': '疒', 'hint': 'sickness'}",13,104.8,7446,
駰,馬,,yīn,grey horse,,16,187.6,7447,
騻,馬,,shuāng,horse,,21,187.11,7448,
箅,竹,⿱⺮畀,bì,,"{'type': 'pictophonetic', 'phonetic': '畀', 'semantic': '⺮', 'hint': 'bamboo'}",14,118.8,7449,
箢,竹,⿱⺮宛,yuān,,"{'type': 'pictophonetic', 'phonetic': '宛', 'semantic': '⺮', 'hint': 'bamboo'}",14,118.8,7450,
觖,角,⿰角夬,jué,to long for; dissatisfied to criticize,"{'type': 'pictophonetic', 'phonetic': '夬', 'semantic': '角', 'hint': 'horn'}",11,148.4,7451,
麆,鹿,,zhù,,,16,198.5,7452,
齮,齒,⿰齒奇,yǐ,bite,"{'type': 'pictophonetic', 'phonetic': '奇', 'semantic': '齒', 'hint': 'teeth'}",23,211.8,7453,
糀,米,,hua,,,13,119.7,7454,
虯,虫,,qiú,young dragon,,8,142.2,7455,
瘊,疒,⿸疒侯,hóu,"warts, pimples","{'type': 'pictophonetic', 'phonetic': '侯', 'semantic': '疒', 'hint': 'sickness'}",14,104.9,7456,
絛,糸,⿰亻⿱夂糸,tāo,"silk braid, sash","{'type': 'pictophonetic', 'semantic': '糸', 'hint': 'silk'}",12,120.7,7457,
聴,耳,,tīng,"hear, listen; understand; obey",,17,128.12,7458,
蘭,艸,⿱艹闌,lán,"orchid; elegant, graceful","{'type': 'pictophonetic', 'phonetic': '闌', 'semantic': '艹', 'hint': 'flower'}",20,140.17,7459,
讬,言,⿰讠乇,tuō,"entrust, rely on; commission","{'type': 'ideographic', 'hint': ""To depend on\xa0乇 someone's word\xa0讠;\xa0乇 also provides the pronunciation""}",5,149.3,7460,
揲,手,⿰扌枼,dié,to sort out the stalks used in divination; to fold,"{'type': 'pictophonetic', 'phonetic': '枼', 'semantic': '扌', 'hint': 'hand'}",12,64.9,7461,
镮,金,,huán,metal ring; measure of currency,,18,167.13,7462,
钷,金,⿰钅叵,pǒ,promethium,"{'type': 'pictophonetic', 'phonetic': '叵', 'semantic': '钅', 'hint': 'metal'}",10,167.5,7463,
睪,目,⿱罒幸,yì,spy on,"{'type': 'ideographic', 'hint': 'An eye\xa0目 on top of a tower\xa0幸'}",13,109.8,7464,
砲,石,⿰石包,pào,"gun, cannon","{'type': 'pictophonetic', 'phonetic': '包', 'semantic': '石', 'hint': 'stone'}",10,112.5,7465,
稅,禾,⿰禾兌,shuì,"taxes, revenue, duty; tax","{'type': 'ideographic', 'hint': 'Grain\xa0禾 paid as tribute\xa0兌;\xa0兌 also provides the pronunciation'}",12,115.7,7466,
翫,羽,,wán,"careless, play; a legendary archer",,15,124.9,7467,
荅,艸,⿱艹合,dā,answer: small bean; thick,"{'type': 'pictophonetic', 'phonetic': '合', 'semantic': '艹', 'hint': 'plant'}",9,140.6,7468,
菉,艸,,lù,the green bamboo; greenish bamboo,,11,140.8,7469,
袚,衣,,bō,greave; knee-pads; buskins,,10,145.5,7470,
褋,衣,,dié,,,14,145.9,7471,
贠,貝,,yuán,"member; personnel, staff member",,6,154.2,7472,
跡,足,⿰足亦,jī,"search, track, trace","{'type': 'pictophonetic', 'phonetic': '亦', 'semantic': '足', 'hint': 'foot'}",13,157.6,7473,
踦,足,,yǐ,the shin; to pierce; to touch,,15,157.8,7474,
遯,辵,,dùn,"deceive, hide, conceal; flee",,14,162.11,7475,
鉅,金,⿰釒巨,jù,"steel, iron; great","{'type': 'pictophonetic', 'phonetic': '巨', 'semantic': '釒', 'hint': 'metal'}",12,167.5,7476,
鎌,金,,lián,sickle,,18,167.1,7477,
靉,雨,,ài,"cloudy sky; dark, obscure",,25,173.17,7478,
韲,韭,,jī,"break or smash into pieces, pulverize",,19,179.1,7479,
餖,食,,dòu,food item set out for show only,,15,184.7,7480,
鶺,鳥,⿰脊鳥,jí,wagtail,"{'type': 'pictophonetic', 'phonetic': '脊', 'semantic': '鳥', 'hint': 'bird'}",21,196.1,7481,
麕,鹿,,jūn,"muntjac deer, hornless river deer",,19,198.8,7482,
瞼,目,⿰目僉,jiǎn,eyelid,"{'type': 'pictophonetic', 'phonetic': '僉', 'semantic': '目', 'hint': 'eye'}",18,109.13,7483,
菵,艸,,wǎng,,,11,140.8,7484,
蟭,虫,⿰虫焦,jiāo,very small bug,"{'type': 'pictophonetic', 'phonetic': '焦', 'semantic': '虫', 'hint': 'insect'}",18,142.12,7485,
錏,金,,yā,soft steel; ammonium,,16,167.8,7486,
踐,足,⿰足戔,jiàn,"trample, tread upon, walk on","{'type': 'pictophonetic', 'phonetic': '戔', 'semantic': '足', 'hint': 'foot'}",15,157.8,7487,
輾,車,⿰車展,zhǎn,"turn over, roll","{'type': 'pictophonetic', 'phonetic': '展', 'semantic': '車', 'hint': 'cart'}",17,159.1,7488,
銷,金,⿰釒肖,xiāo,"melt, fuse; market, sell; to pass time, finish, cancel","{'type': 'pictophonetic', 'phonetic': '肖', 'semantic': '釒', 'hint': 'metal'}",15,167.7,7489,
閣,門,⿵門各,gé,"chamber, pavilion; cabinet","{'type': 'pictophonetic', 'phonetic': '各', 'semantic': '門', 'hint': 'door'}",14,169.6,7490,
頁,頁,⿱？貝,yè,"page, sheet, leaf; rad. no. 181","{'type': 'pictographic', 'hint': ""A person's head""}",9,181.0,7491,
驟,馬,⿰馬聚,zhòu,procedure; gallop; sudden(ly),"{'type': 'pictophonetic', 'phonetic': '聚', 'semantic': '馬', 'hint': 'horse'}",24,187.14,7492,
碼,石,⿰石馬,mǎ,"number, numerals; yard; symbol","{'type': 'pictophonetic', 'phonetic': '馬', 'semantic': '石', 'hint': 'stone'}",15,112.1,7493,
禎,示,⿰礻貞,zhēn,"lucky, auspicious, good omen","{'type': 'pictophonetic', 'phonetic': '貞', 'semantic': '礻', 'hint': 'spirit'}",13,113.9,7494,
禦,示,⿱御示,yù,"defend, resist, hold out against","{'type': 'pictophonetic', 'phonetic': '御', 'semantic': '示', 'hint': 'spirit'}",17,113.11,7495,
稖,禾,,bàng,,,13,115.8,7496,
稟,禾,⿳亠回禾,bǐng,"report to, petition","{'type': 'ideographic', 'hint': 'To show\xa0禾 something to an official\xa0亠回'}",13,115.8,7497,
竇,穴,⿱穴賣,dòu,"surname; hole, burrow; corrupt","{'type': 'ideographic', 'hint': 'To buy someone off\xa0賣; a nose-hole 穴'}",20,116.15,7498,
笇,竹,,suàn,,,10,118.4,7499,
篂,竹,,xīng,,,15,118.9,7500,
緛,糸,,ruǎn,,,15,120.9,7501,
編,糸,⿰糹扁,biān,"knit, weave; arrange; compile","{'type': 'pictophonetic', 'phonetic': '扁', 'semantic': '糹', 'hint': 'thread'}",15,120.9,7502,
縿,糸,,shān,streamer,,17,120.11,7503,
舊,臼,⿱雈臼,jiù,"old, ancient; former, past","{'type': 'pictophonetic', 'phonetic': '臼'}",17,134.12,7504,
蓴,艸,⿱艹專,chún,"edible water plant, bracenia","{'type': 'pictophonetic', 'phonetic': '專', 'semantic': '艹', 'hint': 'plant'}",14,140.11,7505,
蕚,艸,,è,the calyx of a flower; younger brother,,15,140.12,7506,
蘆,艸,⿱艹盧,lú,"rushes, reeds","{'type': 'pictophonetic', 'phonetic': '盧', 'semantic': '艹', 'hint': 'grass'}",19,140.16,7507,
蝿,虫,,yíng,flies,,15,142.9,7508,
袃,衣,,chài,,,10,145.4,7509,
親,見,⿰亲見,qīn,"relatives, parents; intimate","{'type': 'pictophonetic', 'phonetic': '亲', 'semantic': '見', 'hint': 'see'}",16,147.9,7510,
訴,言,⿰言斥,sù,accuse; sue; inform; narrate,"{'type': 'ideographic', 'hint': 'Words\xa0言 of blame\xa0斥;\xa0斥 also provides the pronunciation'}",12,149.5,7511,
讕,言,⿰言闌,lán,"accuse falsely; slander, libel","{'type': 'pictophonetic', 'phonetic': '闌', 'semantic': '言', 'hint': 'speech'}",24,149.17,7512,
讚,言,⿰言贊,zàn,"praise, commend, eulogize","{'type': 'ideographic', 'hint': 'Words\xa0言\xa0of praise\xa0贊;\xa0贊 also provides the pronunciation'}",26,149.19,7513,
財,貝,⿰貝才,cái,"wealth, valuables, riches","{'type': 'pictophonetic', 'phonetic': '才', 'semantic': '貝', 'hint': 'money'}",10,154.3,7514,
贏,貝,⿵吂⿲⺼貝？,yíng,"win; surplus, gain, profit","{'type': 'pictophonetic', 'semantic': '貝', 'hint': 'money'}",20,154.13,7515,
軅,身,,yan,,,19,158.12,7516,
軓,車,,fàn,,,10,159.3,7517,
釙,金,,pò,polonium,,10,167.2,7518,
鉄,金,⿰釒失,zhí,"iron; strong, solid, firm","{'type': 'pictophonetic', 'phonetic': '失', 'semantic': '釒', 'hint': 'metal'}",13,167.5,7519,
錆,金,,qiāng,the color of a mineral,,16,167.8,7520,
閶,門,⿵門昌,chāng,gate of heaven; main gate of palace,"{'type': 'ideographic', 'hint': 'A heavenly\xa0昌 gate\xa0門;\xa0昌 also provides the pronunciation'}",16,169.8,7521,
鯕,魚,⿰魚其,qí,coryphaena hippurus,"{'type': 'pictophonetic', 'phonetic': '其', 'semantic': '魚', 'hint': 'fish'}",19,195.8,7522,
鶕,鳥,,ān,,,20,196.9,7523,
麨,麥,,chǎo,,,15,199.4,7524,
脭,肉,,chéng,,,11,130.7,7527,
鲯,魚,⿰鱼其,qí,coryphaena hippurus,"{'type': 'pictophonetic', 'phonetic': '其', 'semantic': '鱼', 'hint': 'fish'}",16,195.8,7528,
鐏,金,,zūn,cap,,20,167.12,7529,
魾,魚,,pī,,,16,195.5,7530,
眎,目,,shì,"look at, inspect, observe, see",,10,109.5,7531,
睞,目,⿰目來,lài,squint at; sidelong glance,"{'type': 'pictophonetic', 'phonetic': '來', 'semantic': '目', 'hint': 'eye'}",13,109.8,7532,
窋,穴,,zhú,,,10,116.5,7533,
籠,竹,⿱⺮龍,lóng,cage; cage-like basket,"{'type': 'pictophonetic', 'phonetic': '龍', 'semantic': '⺮', 'hint': 'bamboo'}",22,118.16,7534,
綠,糸,⿰糹彔,lǜ,green; chlorine,"{'type': 'pictophonetic', 'phonetic': '彔', 'semantic': '糹', 'hint': 'silk'}",14,120.8,7535,
縡,糸,,zài,"matter, affair",,16,120.1,7536,
縫,糸,⿰糹逢,fèng,"sew, mend","{'type': 'pictophonetic', 'phonetic': '逢', 'semantic': '糹', 'hint': 'thread'}",16,120.11,7537,
肅,聿,⿻肀⿰片爿,sù,pay respects; reverently,,13,129.7,7538,
鉏,金,,chú,"hoe; eradicate, eliminate",,13,167.5,7539,
謦,言,⿱殸言,qìng,to speak softly,"{'type': 'pictophonetic', 'phonetic': '殸', 'semantic': '言', 'hint': 'speech'}",18,149.11,7540,
麹,麥,,qū,"yeast, leaven; surname",,15,199.8,7541,
蔔,艸,⿱艹匐,bó,radish; other root vegetables,"{'type': 'ideographic', 'hint': 'Vegetables\xa0艹 that are buried in the ground\xa0匐;\xa0匐 also provides the pronunciation'}",14,140.11,7542,
繐,糸,,suì,fine cloth,,18,120.12,7543,
眥,目,⿱此目,zì,eye sockets; corner of the eyes,"{'type': 'pictophonetic', 'phonetic': '此', 'semantic': '目', 'hint': 'eye'}",11,109.5,7544,
粺,米,,bài,polished rice or millet,,14,119.8,7545,
缊,糸,⿰纟昷,yūn,"tangled hemp, raveled silk; vague, confused","{'type': 'pictophonetic', 'phonetic': '昷', 'semantic': '纟', 'hint': 'silk'}",12,120.1,7546,
艈,舟,,yù,,,13,137.7,7547,
蓇,艸,,gǔ,follicles of plants,,12,140.1,7548,
蛣,虫,,qī,(dung) beetle,,12,142.6,7549,
蹾,足,,dūn,to squat; to crouch,,19,157.12,7550,
掎,手,⿰扌奇,jǐ,"drag aside, pull; drag one foot","{'type': 'pictophonetic', 'phonetic': '奇', 'semantic': '扌', 'hint': 'hand'}",11,64.8,7551,
哜,口,⿰口齐,jì,sip,"{'type': 'pictophonetic', 'phonetic': '齐', 'semantic': '口', 'hint': 'mouth'}",9,30.6,7552,
鄦,邑,⿰無阝,xǔ,,"{'type': 'pictophonetic', 'phonetic': '無', 'semantic': '阝', 'hint': 'place'}",14,163.12,7553,
陞,阜,⿰阝⿱升土,shēng,"promote, rise, ascend","{'type': 'ideographic', 'hint': 'To pile up\xa0升 earth\xa0土 to form a mound\xa0阝;\xa0升 also provides the pronunciation'}",9,170.7,7554,
韰,韭,⿱⿰歺又韭,xiè,,"{'type': 'pictophonetic', 'phonetic': '韭'}",16,179.7,7555,
飖,風,⿰䍃风,yáo,"floating in air, drifting with wind","{'type': 'pictophonetic', 'phonetic': '䍃', 'semantic': '风', 'hint': 'wind'}",14,182.1,7556,
